ID DEPARTAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19,CAUCA,19809,TIMBIQUÍ,19809003,PUERTO SAIJA (TIMBIQUÍ - CAUCA),2022,5,29.18,14.604,173.18,Domingo,2022 May 29 07:15:00 PM,6.65
19,CAUCA,19418,LÓPEZ (MICAY),19418038,SAN ANTONIO DE CHUARÉ (LÓPEZ (MICAY) - CAUCA),2022,5,10.368,3.716,61.63,Domingo,2022 May 01 06:45:00 PM,6.48
19,CAUCA,19318,GUAPI,19318008,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2022,5,11.916,4.987,49.94,Martes,2022 May 31 08:00:00 PM,9.55
19,CAUCA,19418,LÓPEZ (MICAY),19418038,SAN ISIDRO (LÓPEZ (MICAY) - CAUCA),2022,5,1.188,603.0,8.32,Martes,2022 May 03 07:15:00 PM,7.15
19,CAUCA,19809,TIMBIQUÍ,19809003,SANTA MARÍA (TIMBIQUÍ - CAUCA),2022,5,12.262,5.108,71.49,Sábado,2022 May 07 08:00:00 PM,7.0
19,CAUCA,19418,LÓPEZ (MICAY),19418038,ZARAGOZA (LÓPEZ (MICAY) - CAUCA),2022,5,7.305,2.807,52.22,Domingo,2022 May 08 07:15:00 PM,6.4
27,CHOCO,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCO),2022,5,21.873,8.265,89.37,Domingo,2022 May 01 08:15:00 PM,10.25
27,CHOCO,27099,BOJAYÁ (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO),2022,5,81.611,23.56,261.12,Lunes,2022 May 09 06:45:00 PM,14.18
27,CHOCO,27425,MEDIO ATRATO (BETÉ),27425000,BETÉ (MEDIO ATRATO (BETÉ) - CHOCO),2022,5,16.854,9.058,64.0,Lunes,2022 May 02 07:00:00 PM,12.48
27,CHOCO,27025,ALTO BAUDÓ (PIE DE PATO),27025000,CIUDAD BAUDÓ (ALTO BAUDÓ (PIE DE PATO) - CHOCO),2022,5,47.152,15.698,129.01,Jueves,2022 May 19 07:30:00 PM,23.23
27,CHOCO,27495,NUQUÍ,27495000,COMUNIDAD INDÍGENA DE PANGUÍ - (EL YUCAL) (NUQUÍ - CHOCO),2022,5,5.725,1.723,11.42,Viernes,2022 May 02 07:15:00 PM,23.02
27,CHOCO,27250,EL LITORAL DEL SAN JUAN,27250000,CUCURRUPÍ (EL LITORAL DEL SAN JUAN - CHOCO),2022,5,3.318,917.0,20.35,Viernes,2022 May 20 05:30:00 PM,6.27
